filename,lines,sections
arch/arm/cpu/armv7/sunxi/start.c,1,"""ARM"",""ARM SUNXI"",""THE REST"""
arch/arm/cpu/armv7/sunxi/tzpc.c,26,"""ARM"",""ARM SUNXI"",""THE REST"""
arch/arm/cpu/armv7/sunxi/u-boot-spl.lds,57,"""ARM"",""ARM SUNXI"",""THE REST"""
arch/arm/cpu/armv7/syslib.c,42,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/vf610/Kconfig,37,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/armv7/vf610/Makefile,11,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/armv7/vf610/generic.c,407,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/armv7/vf610/timer.c,88,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/armv7/virt-dt.c,70,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/virt-v7.c,145,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/Makefile,9,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/cache.c,373,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/config.mk,6,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/cpu.c,64,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/mpu.c,44,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/start.S,16,"""ARM"",""THE REST"""
arch/arm/cpu/armv7m/systick-timer.c,119,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/Kconfig,205,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/Makefile,48,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/bcmns3/Makefile,5,"""ARM"",""TARGET_BCMNS3"",""THE REST"""
arch/arm/cpu/armv8/bcmns3/lowlevel.S,98,"""ARM"",""TARGET_BCMNS3"",""THE REST"""
arch/arm/cpu/armv8/cache.S,259,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/cache_v8.c,787,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/config.mk,13,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/cpu-dt.c,34,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/cpu.c,89,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/exception_level.c,58,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/exceptions.S,165,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fel_utils.S,81,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/Kconfig,760,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/Makefile,63,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/cpu.c,1657,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/cpu.h,9,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.core_prefetch,20,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.falcon,150,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.lsch2,20,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.lsch3,400,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.lsch3_2,27,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.pci_iommu_extra,67,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.qspi,42,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/doc/README.soc,437,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/fdt.c,695,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/fsl_lsch2_serdes.c,421,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/fsl_lsch2_speed.c,257,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/fsl_lsch3_serdes.c,669,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/fsl_lsch3_speed.c,251,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/icid.c,192,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/lowlevel.S,421,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1012a_serdes.c,73,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1028_ids.c,130,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1028a_serdes.c,90,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1043_ids.c,90,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1043a_psci.S,19,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1043a_serdes.c,85,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1046_ids.c,89,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1046a_serdes.c,100,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1088_ids.c,32,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls1088a_serdes.c,144,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls2080a_serdes.c,123,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ls2088_ids.c,35,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/lx2160_ids.c,48,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/lx2160a_serdes.c,149,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/mp.c,338,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/ppa.c,284,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/soc.c,989,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/spintable.S,118,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fsl-layerscape/spl.c,155,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/fwcall.c,131,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/generic_timer.c,117,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/hisilicon/Makefile,6,"""ARM"",""ARM HISILICON"",""THE REST"""
arch/arm/cpu/armv8/hisilicon/pinmux.c,183,"""ARM"",""ARM HISILICON"",""THE REST"""
arch/arm/cpu/armv8/linux-kernel-image-header-vars.h,85,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/psci.S,331,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/sec_firmware.c,501,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/sec_firmware_asm.S,75,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/sha1_ce_core.S,132,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/sha1_ce_glue.c,21,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/sha256_ce_core.S,134,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/sha256_ce_glue.c,21,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/smccc-call.S,47,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/spin_table.c,62,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/spin_table_v8.S,22,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/spl_data.c,29,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/start.S,374,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/tlb.S,34,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/transition.S,51,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/u-boot-spl.lds,91,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/u-boot.lds,175,"""ARM"",""THE REST"""
arch/arm/cpu/armv8/xen/Makefile,6,"""ARM"",""THE REST"",""XEN"""
arch/arm/cpu/armv8/xen/hypercall.S,78,"""ARM"",""THE REST"",""XEN"""
arch/arm/cpu/armv8/xen/lowlevel_init.S,33,"""ARM"",""THE REST"",""XEN"""
arch/arm/cpu/u-boot-spl.lds,94,"""ARM"",""THE REST"""
arch/arm/cpu/u-boot.lds,240,"""ARM"",""THE REST"""
arch/arm/dts/Makefile,1309,"""ARM"",""THE REST"""
arch/arm/dts/am335x-baltos.dts,449,"""ARM"",""THE REST"""
arch/arm/dts/am335x-base0033.dts,95,"""ARM"",""THE REST"""
arch/arm/dts/am335x-bone-common.dtsi,405,"""ARM"",""THE REST"""
arch/arm/dts/am335x-bone.dts,23,"""ARM"",""THE REST"""
