from,to,lines,size
MIPS CORTINA ACCESS CAxxxx,SPI,577,15427
MIPS CORTINA ACCESS CAxxxx,THE REST,3525,95083
MIPS CORTINA ACCESS CAxxxx,WATCHDOG,139,2953
MIPS JZ4780,MIPS JZ4780,1929,56479
MIPS JZ4780,THE REST,1929,56479
MIPS MEDIATEK,MIPS MEDIATEK,11217,262513
MIPS MEDIATEK,NETWORK,1209,29832
MIPS MEDIATEK,RAW NAND,1470,34557
MIPS MEDIATEK,SPI,281,5656
MIPS MEDIATEK,THE REST,11217,262513
MIPS MEDIATEK,WATCHDOG,142,2977
MIPS MSCC,MIPS MSCC,13922,405684
MIPS MSCC,NETWORK,4402,129409
MIPS MSCC,SPI,237,5455
MIPS MSCC,THE REST,13922,405684
MIPS Octeon,MIPS Octeon,159997,4610290
MIPS Octeon,THE REST,159997,4610290
MMC,MMC,39373,1020947
MMC,SANDBOX,249,5887
MMC,THE REST,39373,1020947
NETWORK,NETWORK,147955,3977806
NETWORK,NXP C45 TJA11XX PHY DRIVER,342,8525
NETWORK,SANDBOX,1080,25241
NETWORK,THE REST,147955,3977806
NIOS,NIOS,3389,81618
NIOS,THE REST,3389,81618
NVMEM,NVMEM,343,8844
NVMEM,THE REST,343,8844
NVMXIP,NVMXIP,563,15711
NVMXIP,THE REST,563,15711
NVMe,NVMe,2509,61409
NVMe,THE REST,2509,61409
NXP C45 TJA11XX PHY DRIVER,NXP C45 TJA11XX PHY DRIVER,342,8525
NXP C45 TJA11XX PHY DRIVER,THE REST,342,8525
ONENAND,ONENAND,3903,101434
ONENAND,THE REST,3903,101434
OUT4-IMX6ULL-NANO BOARD,OUT4-IMX6ULL-NANO BOARD,915,20678
OUT4-IMX6ULL-NANO BOARD,THE REST,915,20678
PATMAN,PATMAN,6806,239622
PATMAN,THE REST,6806,239622
PCI Endpoint,PCI Endpoint,1350,36324
PCI Endpoint,SANDBOX,179,3548
PCI Endpoint,THE REST,1350,36324
PCI MPC85xx,PCI MPC85xx,204,5126
PCI MPC85xx,THE REST,204,5126
PCI MPS,PCI MPS,204,4757
PCI MPS,THE REST,204,4757
POWER,POWER,32043,786467
POWER,THE REST,32043,786467
POWERPC,POWERPC,54852,1418247
POWERPC,POWERPC MPC83XX,9553,228168
POWERPC,POWERPC MPC85XX,14549,382771
POWERPC,POWERPC MPC8XX,2240,54600
POWERPC,THE REST,54852,1418247
POWERPC MPC83XX,POWERPC MPC83XX,12895,315833
POWERPC MPC83XX,THE REST,12895,315833
POWERPC MPC85XX,POWERPC MPC85XX,14549,382771
POWERPC MPC85XX,THE REST,14549,382771
POWERPC MPC8XX,POWERPC MPC8XX,2240,54600
POWERPC MPC8XX,THE REST,2240,54600
RAW NAND,RAW NAND,50528,1343446
RAW NAND,THE REST,50528,1343446
RISC-V,RISC-V,17774,460875
RISC-V,SEMIHOSTING,22,470
RISC-V,THE REST,17774,460875
RISC-V CANAAN KENDRYTE K210,RISC-V CANAAN KENDRYTE K210,2252,60397
RISC-V CANAAN KENDRYTE K210,THE REST,2252,60397
RNG,RNG,2734,62652
RNG,SANDBOX,57,1014
RNG,SMCCC TRNG,207,5419
RNG,THE REST,2734,62652
RNG,VirtIO,97,1985
ROCKUSB,ROCKUSB,1064,27328
ROCKUSB,THE REST,1064,27328
ROCKUSB,USB,933,24207
SANDBOX,SANDBOX,22574,527665
SANDBOX,SPI,175,3919
SANDBOX,SPMI,155,3725
SANDBOX,TEE,584,14448
SANDBOX,THE REST,22574,527665
SANDBOX,TPM DRIVERS,1273,32138
SANDBOX,VIDEO,396,9047
SANDBOX,VirtIO,223,5174
SANDBOX,WATCHDOG,143,2639
SEAMA,SEAMA,289,7431
SEAMA,THE REST,289,7431
SEMIHOSTING,SEMIHOSTING,1007,22705
SEMIHOSTING,THE REST,1007,22705
SETEXPR,SETEXPR,647,16048
SETEXPR,THE REST,647,16048
SH,SH,6929,158016
SH,THE REST,6929,158016
SL28CLPD,SL28CLPD,379,8219
SL28CLPD,THE REST,379,8219
SL28CLPD,WATCHDOG,109,2428
SMCCC TRNG,SMCCC TRNG,207,5419
SMCCC TRNG,THE REST,207,5419
SPI,SPI,40696,1051767
SPI,SPI-NOR,205,5564
SPI,THE REST,40696,1051767
SPI NAND,SPI NAND,2908,79081
SPI NAND,THE REST,2908,79081
SPI-NOR,SPI-NOR,8961,259437
SPI-NOR,THE REST,8961,259437
SPMI,SPMI,525,13025
SPMI,THE REST,525,13025
SQUASHFS,SQUASHFS,3121,78279
SQUASHFS,THE REST,3121,78279
STACKPROTECTOR,STACKPROTECTOR,62,1532
STACKPROTECTOR,THE REST,62,1532
TARGET_BCMNS3,TARGET_BCMNS3,4106,101826
TARGET_BCMNS3,THE REST,4106,101826
TDA19988 HDMI ENCODER,TDA19988 HDMI ENCODER,655,23674
TDA19988 HDMI ENCODER,THE REST,655,23674
TDA19988 HDMI ENCODER,VIDEO,655,23674
TEE,TEE,4237,113579
TEE,THE REST,4237,113579
TEE-lib,TEE-lib,227,5224
TEE-lib,THE REST,227,5224
THE REST,THE REST,4404168,128466954
THE REST,TI SYSTEM SECURITY,2003,57441
THE REST,TPM DRIVERS,11733,299435
THE REST,UBI,16461,474996
THE REST,UFS,3919,102838
THE REST,USB,106154,2829496
THE REST,USB xHCI,6990,211870
THE REST,UUID testing,41,950
THE REST,VIDEO,91236,2939100
THE REST,VirtIO,5347,150247
THE REST,WATCHDOG,6911,159325
THE REST,X86,101998,3171622
THE REST,XEN,7084,208500
THE REST,XTENSA,5484,172371
THE REST,XXD,192,4325
TI SYSTEM SECURITY,TI SYSTEM SECURITY,2003,57441
TPM DRIVERS,TPM DRIVERS,11733,299435
TQ GROUP,TQ GROUP,0,0
UBI,UBI,16461,474996
UFS,UFS,3919,102838
USB,USB,106154,2829496
USB,USB xHCI,5673,166890
USB xHCI,USB xHCI,6990,211870
UUID testing,UUID testing,41,950
VIDEO,VIDEO,91236,2939100
VirtIO,VirtIO,5347,150247
WATCHDOG,WATCHDOG,6911,159325
X86,X86,101998,3171622
XEN,XEN,7084,208500
XTENSA,XTENSA,5484,172371
XXD,XXD,192,4325
