filename,lines,sections
Documentation/ABI/testing/sysfs-kernel-slab,490,"""THE REST"""
Documentation/ABI/testing/sysfs-kernel-uids,14,"""THE REST"""
Documentation/ABI/testing/sysfs-kernel-vmcoreinfo,14,"""THE REST"""
Documentation/ABI/testing/sysfs-memory-page-offline,44,"""THE REST"""
Documentation/ABI/testing/sysfs-module,52,"""THE REST"""
Documentation/ABI/testing/sysfs-ocfs2,89,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-asus-laptop,66,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-asus-wmi,38,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-at91,25,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-brcmstb-gisb-arb,8,"""BROADCOM BCM7XXX ARM ARCHITECTURE"",""THE REST"""
Documentation/ABI/testing/sysfs-platform-chipidea-usb-otg,56,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-chipidea-usb2,9,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-dell-laptop,69,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-eeepc-laptop,50,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-hidma,9,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-hidma-mgmt,97,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-i2c-demux-pinctrl,18,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-ideapad-laptop,27,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-kim,48,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-msi-laptop,83,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-phy-rcar-gen3-usb2,15,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-renesas_usb3,15,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-sst-atom,17,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-tahvo-usb,16,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-ts5500,54,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-twl4030-usb,8,"""THE REST"""
Documentation/ABI/testing/sysfs-platform-usbip-vudc,35,"""THE REST"""
Documentation/ABI/testing/sysfs-power,287,"""THE REST"""
Documentation/ABI/testing/sysfs-pps,73,"""PPS SUPPORT"",""THE REST"""
Documentation/ABI/testing/sysfs-profiling,13,"""THE REST"""
