from,to,lines,size
APPLE SMC DRIVER,HARDWARE MONITORING,1362,32753
APPLE SMC DRIVER,THE REST,1362,32753
APPLETALK NETWORK LAYER,APPLETALK NETWORK LAYER,7144,194083
APPLETALK NETWORK LAYER,NETWORKING DRIVERS,3695,109464
APPLETALK NETWORK LAYER,NETWORKING [GENERAL],3449,84619
APPLETALK NETWORK LAYER,THE REST,7144,194083
ARASAN COMPACT FLASH PATA CONTROLLER,ARASAN COMPACT FLASH PATA CONTROLLER,1021,27986
ARASAN COMPACT FLASH PATA CONTROLLER,SERIAL ATA (SATA) SUBSYSTEM,972,26654
ARASAN COMPACT FLASH PATA CONTROLLER,THE REST,1021,27986
ARC FRAMEBUFFER DRIVER,ARC FRAMEBUFFER DRIVER,914,23400
ARC FRAMEBUFFER DRIVER,FRAMEBUFFER LAYER,914,23400
ARC FRAMEBUFFER DRIVER,THE REST,914,23400
ARM MFM AND FLOPPY DRIVERS,ARM MFM AND FLOPPY DRIVERS,180,4437
ARM MFM AND FLOPPY DRIVERS,ARM PORT,180,4437
ARM MFM AND FLOPPY DRIVERS,THE REST,180,4437
ARM PMU PROFILING AND DEBUGGING,ARM PMU PROFILING AND DEBUGGING,5288,141526
ARM PMU PROFILING AND DEBUGGING,ARM PORT,5288,141526
ARM PMU PROFILING AND DEBUGGING,OPROFILE,133,3036
ARM PMU PROFILING AND DEBUGGING,PERFORMANCE EVENTS SUBSYSTEM,3827,105101
ARM PMU PROFILING AND DEBUGGING,THE REST,5288,141526
ARM PORT,ARM PORT,718019,19870663
ARM PORT,ARM SUB-ARCHITECTURES,546339,15518579
ARM PORT,ARM/ATMEL AT91RM9200 AND AT91SAM ARM ARCHITECTURES,30530,828830
ARM PORT,ARM/Allwinner A1X SoC support,127,3045
ARM PORT,ARM/CALXEDA HIGHBANK ARCHITECTURE,567,14901
ARM PORT,ARM/CAVIUM NETWORKS CNS3XXX MACHINE SUPPORT,1995,60055
ARM PORT,ARM/CIRRUS LOGIC CLPS711X ARM ARCHITECTURE,2031,55913
ARM PORT,ARM/CIRRUS LOGIC EP93XX ARM ARCHITECTURE,4532,128154
ARM PORT,ARM/CLKDEV SUPPORT,29,663
ARM PORT,ARM/CONTEC MICRO9 MACHINE SUPPORT,133,3692
ARM PORT,ARM/CORTINA SYSTEMS GEMINI ARM ARCHITECTURE,1779,46352
ARM PORT,ARM/CSR SIRFPRIMA2 MACHINE SUPPORT,1189,28997
ARM PORT,ARM/EBSA110 MACHINE SUPPORT,1172,26740
ARM PORT,"ARM/EZX SMARTPHONES (A780, A910, A1200, E680, ROKR E2 and ROKR E6)",1243,29195
ARM PORT,ARM/FARADAY FA526 PORT,625,15732
ARM PORT,ARM/FOOTBRIDGE ARCHITECTURE,3250,75110
