filename,lines,sections
default-configs/aarch64-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/aarch64-softmmu.mak,9,"""General Project Administration - All patches CC here"""
default-configs/alpha-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/alpha-softmmu.mak,16,"""General Project Administration - All patches CC here"""
default-configs/arm-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/arm-softmmu.mak,132,"""General Project Administration - All patches CC here"""
default-configs/armeb-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/cris-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/cris-softmmu.mak,6,"""General Project Administration - All patches CC here"""
default-configs/hppa-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/i386-bsd-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - BSD user"""
default-configs/i386-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/i386-softmmu.mak,62,"""General Project Administration - All patches CC here"""
default-configs/lm32-softmmu.mak,10,"""General Project Administration - All patches CC here"""
default-configs/m68k-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
default-configs/m68k-softmmu.mak,4,"""General Project Administration - All patches CC here"""
default-configs/microblaze-linux-user.mak,1,"""General Project Administration - All patches CC here"",""Usermode Emulation - Linux user"""
